id,emotion
0,0
1,5
2,6
3,4
4,2
5,0
6,4
7,3
8,0
9,3
10,5
11,3
12,4
13,4
14,0
15,6
16,2
17,5
18,4
19,2
20,3
21,6
22,0
23,6
24,3
25,2
26,5
27,6
28,6
29,3
30,4
31,6
32,6
33,0
34,1
35,3
36,5
37,0
38,0
39,4
40,6
41,4
42,2
43,4
44,2
45,4
46,3
47,6
48,3
49,3
50,4
51,2
52,3
53,2
54,0
55,4
56,3
57,6
58,6
59,2
60,6
61,4
62,6
63,3
64,0
65,0
66,3
67,5
68,6
69,0
70,2
71,5
72,5
73,6
74,3
75,0
76,6
77,0
78,5
79,3
80,2
81,3
82,5
83,6
84,3
85,4
86,6
87,2
88,3
89,3
90,3
91,2
92,4
93,6
94,6
95,4
96,4
97,5
98,4
99,6
100,5
101,3
102,6
103,6
104,3
105,4
106,5
107,5
108,5
109,3
110,0
111,3
112,0
113,0
114,3
115,3
116,3
117,3
118,3
119,0
120,6
121,3
122,5
123,4
124,4
125,0
126,4
127,3
128,3
129,3
130,6
131,3
132,2
133,0
134,5
135,0
136,6
137,6
138,3
139,0
140,2
141,3
142,3
143,4
144,0
145,6
146,5
147,6
148,4
149,2
150,6
151,6
152,6
153,6
154,6
155,5
156,0
157,0
158,6
159,3
160,4
161,5
162,3
163,2
164,6
165,2
166,0
167,0
168,3
169,6
170,3
171,5
172,0
173,3
174,4
175,0
176,6
177,2
178,1
179,6
180,4
181,6
182,6
183,0
184,0
185,6
186,5
187,2
188,4
189,1
190,3
191,2
192,6
193,3
194,6
195,2
196,5
197,0
198,2
199,3
200,2
201,4
202,2
203,4
204,4
205,6
206,2
207,2
208,0
209,2
210,6
211,6
212,5
213,0
214,0
215,5
216,6
217,3
218,6
219,6
220,2
221,2
222,5
223,5
224,4
225,3
226,2
227,1
228,5
229,3
230,3
231,6
232,5
233,1
234,2
235,2
236,0
237,5
238,3
239,6
240,2
241,4
242,0
243,3
244,5
245,3
246,3
247,4
248,1
249,6
250,4
251,0
252,0
253,2
254,4
255,5
256,3
257,3
258,3
259,3
260,3
261,0
262,3
263,6
264,4
265,2
266,6
267,4
268,2
269,6
270,3
271,2
272,3
273,4
274,4
275,3
276,3
277,0
278,6
279,6
280,0
281,4
282,4
283,6
284,4
285,4
286,0
287,6
288,5
289,6
290,2
291,4
292,3
293,4
294,4
295,0
296,3
297,3
298,0
299,6
300,5
301,0
302,0
303,0
304,4
305,0
306,4
307,6
308,6
309,3
310,6
311,6
312,0
313,5
314,4
315,4
316,3
317,6
318,4
319,0
320,3
321,2
322,6
323,2
324,0
325,2
326,3
327,6
328,4
329,3
330,3
331,3
332,5
333,6
334,6
335,5
336,6
337,0
338,6
339,4
340,0
341,6
342,4
343,3
344,2
345,0
346,3
347,5
348,0
349,0
350,3
351,2
352,0
353,0
354,5
355,6
356,4
357,3
358,2
359,3
360,2
361,3
362,5
363,4
364,0
365,3
366,0
367,4
368,6
369,4
370,4
371,3
372,3
373,6
374,6
375,4
376,3
377,5
378,3
379,3
